"taxon_name","Mass_g","activity_nocturnal","diet","diet_carnivore","diet_granivore","diet_herbivore","diet_inflorescence","diet_invertivore","diet_omnivore","dispersal_HWI","dominant_pyrome","litter_size_n","nest_branch","nest_burrow","nest_cave","nest_ground","nest_hollows","nesting","pyrome_breadth","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_terrestrial","max_longevity_d","activity_cathemeral","activity_crepuscular","activity_diurnal","dispersal_km","home_range_km2","litters_per_year_n","n_offspring_year","stratum_CWD","stratum_aquatic","stratum_fossorial","stratum_grass_hummock","stratum_saxicolous","hibernation_torpor","volant","COMMON_NAME","TaxaGroup","TAXON_ID","TAXON_TYPE"
"Petaurus norfolcensis","272.5","1","inflorescence","1","0","1","1","1","0",NA,"3",1.57,"0","0","0","0","1","hollows","4","arboreal","0","1","1",5405.042,0,"0","0",0.519,0.02,1.56,2.4492,NA,"0","1",NA,NA,"1","1","Squirrel Glider","Mammals",11137,"Mammals"
"Petrochelidon ariel","10.8",NA,"invertivore","0","0","0","0","1","0","50.7","1",NA,NA,"0","0",NA,NA,NA,"8","aerial","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","1","Fairy Martin","Birds",10360,"Passerine birds"
"Petrochelidon nigricans","15.4",NA,"invertivore","0","0","0","0","1","0","53.2","1",NA,NA,"0","0",NA,NA,NA,"8","aerial","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","1","Tree Martin","Birds",10359,"Passerine birds"
"Petrogale penicillata","6465.8","1","herbivore","0","0","1","0","0","0",NA,"3",1,"0","0","0","1","0","ground","4","terrestrial","0","0","1",5256,0,"0","0",2.959,NA,1.48,1.48,NA,"0","1",NA,NA,"0","0","Brush-tailed Rock-wallaby","Mammals",11215,"Mammals"
"Petroica boodang","12.5",NA,"invertivore","0","0","0","0","1","0","27.1","1",3.25,"1","0","0","0","0","branch","7","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Scarlet Robin","Birds",10380,"Passerine birds"
"Petroica goodenovii","8.9","0","invertivore","0","0","0","0","1","0","25.1","1",2.45,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.45,NA,"0","0",NA,"0","0","1","Red-capped Robin","Birds",10381,"Passerine birds"
"Petroica phoenicea","13","0","invertivore","0","0","0","0","1","0","27.7","1",3.25,"1","0","0","0","0","branch","7","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Flame Robin","Birds",10382,"Passerine birds"
"Petroica rodinogaster","10.2","0","invertivore","0","0","0","0","1","0","23.4","4",3.25,"1","0","0","0","0","branch","5","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Pink Robin","Birds",10383,"Passerine birds"
"Petroica rosea","8.2","0","invertivore","0","0","0","0","1","0","25.6","4",2.45,"1","0","0","0","0","branch","5","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.45,NA,"0","0",NA,"0","0","1","Rose Robin","Birds",10384,"Passerine birds"
"Pezoporus wallicus","71.2","0","granivore","0","1","0","0","0","0","42.5","4",3.5,NA,"0","0",NA,NA,NA,"3","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,3.5,NA,"0","0",NA,"0","0","1","Ground Parrot","Birds",10311,"Other Non-passerine birds"
"Phalacrocorax carbo","2529","0","carnivore","1","0","0","0","0","0","37.1","1",3.75,"0","0","0","1","0","ground","8","aquatic","0","0","0",9915.83333455,NA,NA,NA,NA,NA,1,3.75,NA,"0","0",NA,"0","0","1","Great Cormorant","Birds",10096,"Other Non-passerine birds"
"Phalacrocorax fuscescens","1515","0","carnivore","1","0","0","0","0","0","34.1","1",2,"0","0","0","1","0","ground","3","aquatic","0","0","0",3254.583333455,NA,NA,NA,NA,NA,1,2,NA,"0","0",NA,"0","0","1","Black-faced Cormorant","Birds",10098,"Other Non-passerine birds"
"Phalacrocorax sulcirostris","995","0","carnivore","1","0","0","0","0","0","38.1","1",4,"0","0","0","1","0","ground","8","aquatic","0","0","0",2281.25,NA,NA,NA,NA,NA,1,4,NA,"0","0",NA,"0","0","1","Little Black Cormorant","Birds",10097,"Other Non-passerine birds"
"Phalacrocorax varius","1940.7","0","carnivore","1","0","0","0","0","0","37.8","1",3.32,"0","0","0","1","0","ground","7","aquatic","0","0","0",5596.66666545,NA,NA,NA,NA,NA,1,3.32,NA,"0","0",NA,"0","0","1","Pied Cormorant","Birds",10099,"Other Non-passerine birds"
"Phaps chalcoptera","330.7","0","granivore","0","1","0","0","0","0","39","1",1.915,"1","0","0","0","0","branch","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,1.915,NA,"0","0",NA,"0","0","1","Common Bronzewing","Birds",10034,"Other Non-passerine birds"
"Phaps elegans","211.4","0","granivore","0","1","0","0","0","0","30.7","1",2,"1","0","0","0","0","branch","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,2,NA,"0","0",NA,"0","0","1","Brush Bronzewing","Birds",10035,"Other Non-passerine birds"
"Phascogale tapoatafa","157","1",NA,"1","0","0","0","1",NA,NA,"1",6.595,"0",NA,NA,NA,NA,NA,"5","arboreal","0","1","1",2156.542,0,"0","0",0.383,NA,1,6.595,NA,"0","1",NA,NA,"1","0","Brush-tailed Phascogale","Mammals",11017,"Mammals"
"Phascolarctos cinereus","5646.87","1","herbivore","0","0","1","0","0","0",NA,"1",1.005,"1","0","0","0","0","branch","7","arboreal","0","1","1",8066.5,0,"0","0",2.747,0.01,1,1.005,NA,"0","1",NA,NA,"0","0","Koala","Mammals",11162,"Mammals"
"Philemon citreogularis","60.6","0","omnivore","0","0","0","0","0","1","20","3",2.41,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.41,NA,"0","0",NA,"0","0","1","Little Friarbird","Birds",10646,"Passerine birds"
"Philemon corniculatus","100.7","0","omnivore","0","0","0","0","0","1","27.1","4",2.94,"1","0","0","0","0","branch","8","insessorial","0","1","0",3589.166666545,NA,NA,NA,NA,NA,1,2.94,NA,"0","0",NA,"0","0","1","Noisy Friarbird","Birds",10645,"Passerine birds"
"Philomachus pugnax","131.7","0","carnivore","1","0","0","0","0","0","51","1",4,"0","0","0","1","0","ground","8","terrestrial","0","0","1",5079.58333455,NA,NA,NA,NA,NA,1,4,NA,"1","0",NA,"0","0","1","Ruff","Birds",10934,"Waders"
"Philoria frosti","14.5",NA,NA,"0","0","1","0","1","0",NA,"4",185,"0","1","0","1","0",NA,"2",NA,"0","0","1",5292.5,NA,NA,NA,NA,NA,1,185,NA,"1","1",NA,"0","1","0","Baw Baw Frog","Amphibians",13106,"Amphibians"
"Phylidonyris albifrons","17.4","0","inflorescence","0","0","0","1","0","0","20.4","1",2.02,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.02,NA,"0","0",NA,"0","0","1","White-fronted Honeyeater","Birds",10594,"Passerine birds"
"Phylidonyris melanops","18.2","0","inflorescence","0","0","0","1","0","0","23.9","1",2,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2,NA,"0","0",NA,"0","0","1","Tawny-crowned Honeyeater","Birds",10593,"Passerine birds"
"Phylidonyris novaehollandiae","20.2","0","inflorescence","0","0","0","1","0","0","22.4","1",2.45,"1","0","0","0","0","branch","8","insessorial","0","1","0",4349.58333455,NA,NA,NA,NA,NA,1,2.45,NA,"0","0",NA,"0","0","1","New Holland Honeyeater","Birds",10631,"Passerine birds"
"Phylidonyris pyrrhoptera","16.3","0","omnivore","0","0","0","0","0","1","17.4","4",2.26,"1","0","0","0","0","branch","4","insessorial","0","1","0",3619.583333455,NA,NA,NA,NA,NA,1,2.26,NA,"0","0",NA,"0","0","1","Crescent Honeyeater","Birds",10630,"Passerine birds"
"Planigale gilesi","9.1","0","invertivore","1","0","0","0","1","0",NA,"13",5.23,"0","0","0","1","0","ground","4","terrestrial","0","0","1",1825,0,"1","0",0.65,NA,2,10.46,NA,"0","1",NA,NA,"1","0","Gile's Planigale","Mammals",11050,"Mammals"
"Platalea flavipes","1741.3","0","carnivore","1","0","0","0","0","0","38","3",3.025,"0","0","0","1","0","ground","8","terrestrial","0","0","1",10439,NA,NA,NA,NA,NA,1,3.025,NA,"0","0",NA,"0","0","1","Yellow-billed Spoonbill","Birds",10182,"Other Non-passerine birds"
"Platalea regia","1723.5","0","carnivore","1","0","0","0","0","0","36.6","1",3.5,"0","0","0","1","0","ground","7","terrestrial","0","0","1",10986.5,NA,NA,NA,NA,NA,1,3.5,NA,"0","0",NA,"0","0","1","Royal Spoonbill","Birds",10181,"Other Non-passerine birds"
"Platycercus elegans","123.9","0","omnivore","0","0","0","0","0","1","42.7","1",5,"0","0","0","0","1","hollows","8","insessorial","0","1","0",9782,NA,NA,NA,NA,NA,1,5,NA,"0","0",NA,"0","0","1","Crimson Rosella","Birds",10282,"Other Non-passerine birds"
"Platycercus eximius","104","0","omnivore","0","0","0","0","0","1","42.2","1",5.6,"0","0","0","0","1","hollows","8","insessorial","0","1","0",10001,NA,NA,NA,NA,NA,1,5.6,NA,"0","0",NA,"0","0","1","Eastern Rosella","Birds",10288,"Other Non-passerine birds"
"Plectorhyncha lanceolata","40.6","0","omnivore","0","0","0","0","0","1","21.1","14",3.02,"1","0","0","0","0","branch","6","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.02,NA,"0","0",NA,"0","0","1","Striped Honeyeater","Birds",10585,"Passerine birds"
"Plegadis falcinellus","626.6","0","carnivore","1","0","0","0","0","0","38.9","3",3.5,"0","0","0","1","0","ground","7","terrestrial","0","0","1",9782,NA,NA,NA,NA,NA,1,3.5,NA,"0","0",NA,"0","0","1","Glossy Ibis","Birds",10178,"Other Non-passerine birds"
"Pluvialis fulva","134.9","0","omnivore","0","0","0","0","0","1","59.3","1",3.935,"0","0","0","1","0","ground","6","terrestrial","0","0","1",9459.58333455,NA,NA,NA,NA,NA,1,3.935,NA,"1","0",NA,"0","0","1","Pacific Golden Plover","Birds",10137,"Waders"
