"TaxonCode","ScientificName","CommonName","LifeForm","HabitatVicForest","Broad_habitat","OpenCountryTolernat_Jradford","FeedGuild","Diet_viaHlada_simplifiedARI_ReadersDigest","NestGuildVicForest","HollowDep","Status","Migration","TaxonGroup","Weight_mean.g","BroodSize_mean","Egg_mass_Lislevand_g","Mating_System_Lislevand","genus"
10591,"Acanthorhynchus tenuirostris","Eastern Spinebill","Passerine Birds","F","F","F","N","N","V",0,0,"C","passerine10g",11,1.5,1.72,2,"Acanthorhynchus"
10653,"Taeniopygia guttata","Zebra Finch","Passerine Birds","O","S","O","SG","G","V",0,0,"N","passerine10g",12,4.5,0.98,2,"Taeniopygia"
10662,"Neochmia temporalis","Red-browed Finch","Passerine Birds","F","F","F","SG","G","V",0,0,"N","passerine10g",11,5,1.02,2,"Neochmia"
10976,"Pardalotus striatus","Striated Pardalote","Passerine Birds","F","F","F","C","I","SH",1,0,"L","passerine10g",12,4,1.9,2,"Pardalotus"
10375,"Symposiarchus gouldii","Spectacled Monarch","Passerine Birds","F","F","F","C","I","X",0,1,"V","passerine10g",12,2,2.47,2,"Symposiarchus"
10548,"Artamus minor","Little Woodswallow","Passerine Birds","F","F","F","A","I","X",0,1,"V","passerine10g",17,3,1.93,2,"Artamus"
10657,"Lonchura castaneothorax","Chestnut-breasted Mannikin","Passerine Birds","O","S","F","SG","G","V",0,0,"N","passerine10g",14,5.5,1.17,2,"Lonchura"
10661,"Neochmia modesta","Plum-headed Finch","AVES","F","F","T","SG","G","X",0,1,"N","passerine10g",13,5.5,1.94538461538462,2,"Neochmia"
10879,"Hirundo rustica","Barn Swallow","AVES","O","S","F","A","I","X",0,1,"V","passerine10g",17,4.5,1.9,3,"Hirundo"
10996,"Carduelis carduelis","European Goldfinch","Passerine Birds","O","T","O","SG","G","V",0,0,"N","passerine10g",14.5,4,2.89,2,"Carduelis"
10408,"Colluricincla harmonica","Grey Shrike-thrush","Passerine Birds","F","F","F","V","I","V",0,0,"N","passerine40g",65,2.5,6.81,2,"Colluricincla"
10419,"Oreoica gutturalis gutturalis","Crested Bellbird","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine40g",63,2.5,3.26,2,"Oreoica"
10421,"Psophodes olivaceus","Eastern Whipbird","Passerine Birds","F","F","F","DG","I","V",0,0,"N","passerine40g",67,2,5.94,2,"Psophodes"
10422,"Psophodes nigrogularis leucogaster","Western Whipbird (Mallee)","Passerine Birds","F","F","F","OS","I","V",0,0,"N","passerine40g",45,2.60625,5.2925,2.15384615384615,"Psophodes"
10425,"Coracina papuensis","White-bellied Cuckoo-shrike","Passerine Birds","F","F","F","C","I","V",0,0,"SP","passerine40g",67,2,6.5,2,"Coracina"
10429,"Coracina tenuirostris","Common Cicadabird","Passerine Birds","F","F","F","C","I","V",0,0,"S","passerine40g",70,1,5.2925,2.15384615384615,"Coracina"
10443,"Pomatostomus temporalis temporalis","Grey-crowned Babbler","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine40g",65,1.5,4.36,2,"Pomatostomus"
10446,"Pomatostomus ruficeps","Chestnut-crowned Babbler","Passerine Birds","O","S","F","OS","I","V",0,0,"N","passerine40g",55,4,4.15,2,"Pomatostomus"
